Education,JoiningYear,PaymentTier,Age,ExperienceInCurrentDomain,LeaveOrNot,city_is_bangalore,city_is_pune,city_is_new_delhi,gender_is_male,gender_is_female,is_ever_benched,is_never_benched,Education_intervals,Education_categories,JoiningYear_intervals,JoiningYear_categories,PaymentTier_intervals,PaymentTier_categories,Age_intervals,Age_categories,ExperienceInCurrentDomain_intervals,ExperienceInCurrentDomain_categories
Bachelors,2017,3,34,0,0,1,0,0,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(12, 12)",12,"(0, 0)",0
Bachelors,2013,1,28,3,1,0,1,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3
Bachelors,2014,3,38,2,0,0,0,1,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(16, 16)",16,"(2, 2)",2
Masters,2016,3,27,5,1,1,0,0,1,0,0,1,"(2, 2)",2,"(4, 4)",4,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Masters,2017,3,24,2,1,0,1,0,1,0,1,0,"(2, 2)",2,"(5, 5)",5,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2016,3,22,0,0,1,0,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(0, 0)",0,"(0, 0)",0
Bachelors,2015,3,38,0,0,0,0,1,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(16, 16)",16,"(0, 0)",0
Bachelors,2016,3,34,2,1,1,0,0,0,1,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(12, 12)",12,"(2, 2)",2
Bachelors,2016,3,23,1,0,0,1,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(1, 1)",1,"(1, 1)",1
Masters,2017,2,37,2,0,0,0,1,1,0,0,1,"(2, 2)",2,"(5, 5)",5,"(2, 2)",2,"(15, 15)",15,"(2, 2)",2
Masters,2012,3,27,5,1,1,0,0,1,0,0,1,"(2, 2)",2,"(0, 0)",0,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2016,3,34,3,0,0,1,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(12, 12)",12,"(3, 3)",3
Bachelors,2018,3,32,5,1,0,1,0,1,0,1,0,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(10, 10)",10,"(5, 5)",5
Bachelors,2016,3,39,2,0,1,0,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(17, 17)",17,"(2, 2)",2
Bachelors,2017,1,29,3,0,1,0,0,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(1, 1)",1,"(7, 7)",7,"(3, 3)",3
Bachelors,2014,3,34,2,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(12, 12)",12,"(2, 2)",2
